epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,395.622,0.69718,0.66196,0.868,0.95176,0.98148,0.97706,0.88268,0.56733,0.6044,0.8563,0.0053965,0.0053965,0.0053965
95,399.29,0.66492,0.68385,0.85049,0.95176,0.98148,0.97706,0.88268,0.56733,0.6044,0.8563,0.005347,0.005347,0.005347
96,404.388,0.71054,0.6649,0.82607,0.96047,0.98148,0.97704,0.88048,0.56407,0.59864,0.85245,0.0052975,0.0052975,0.0052975
97,409.408,0.62374,0.62851,0.83644,0.95164,0.98148,0.97708,0.8638,0.57778,0.61409,0.86006,0.005248,0.005248,0.005248
98,414.585,0.74893,0.70538,0.84938,0.9657,0.98148,0.97859,0.86319,0.59041,0.59829,0.85701,0.0051985,0.0051985,0.0051985
99,418.012,0.68989,0.6503,0.84706,0.9657,0.98148,0.97859,0.86319,0.59041,0.59829,0.85701,0.005149,0.005149,0.005149
100,423.599,0.70032,0.76286,0.8724,0.97207,0.98148,0.97706,0.87413,0.53112,0.56281,0.8538,0.0050995,0.0050995,0.0050995
101,429.27,0.67213,0.67849,0.87143,0.96675,0.98148,0.98199,0.87412,0.56447,0.58577,0.85876,0.00505,0.00505,0.00505
102,433.579,0.67652,0.64105,0.83808,0.96619,0.97595,0.97835,0.8831,0.54488,0.56715,0.85498,0.0050005,0.0050005,0.0050005
103,438.008,0.67612,0.62248,0.84596,0.96619,0.97595,0.97835,0.8831,0.54488,0.56715,0.85498,0.004951,0.004951,0.004951
104,443.023,0.6693,0.59243,0.85255,0.96918,0.97355,0.97717,0.87407,0.58056,0.5636,0.85694,0.0049015,0.0049015,0.0049015
105,449.381,0.76646,0.66628,0.86668,0.96766,0.97542,0.97713,0.881,0.52028,0.54135,0.85444,0.004852,0.004852,0.004852
106,453.721,0.70847,0.65919,0.85359,0.97011,0.97405,0.97709,0.86027,0.57325,0.56704,0.85635,0.0048025,0.0048025,0.0048025
107,458.671,0.7424,0.67238,0.87382,0.97011,0.97405,0.97709,0.86027,0.57325,0.56704,0.85635,0.004753,0.004753,0.004753
108,464.617,0.70557,0.60811,0.87183,0.94882,0.97564,0.97709,0.88446,0.54002,0.57495,0.85377,0.0047035,0.0047035,0.0047035
109,470.575,0.64918,0.64329,0.8398,0.96212,0.9747,0.9771,0.87147,0.55716,0.55789,0.85744,0.004654,0.004654,0.004654
110,477.071,0.67822,0.62867,0.85064,0.96751,0.9744,0.97709,0.88229,0.50539,0.55745,0.85215,0.0046045,0.0046045,0.0046045
111,482.271,0.68762,0.65173,0.84029,0.96751,0.9744,0.97709,0.88229,0.50539,0.55745,0.85215,0.004555,0.004555,0.004555
112,488.154,0.69951,0.65405,0.86346,0.97318,0.97553,0.9771,0.859,0.54712,0.5373,0.85589,0.0045055,0.0045055,0.0045055
113,493.202,0.69434,0.59406,0.86005,0.97622,0.98148,0.97708,0.87708,0.50823,0.53024,0.85398,0.004456,0.004456,0.004456
114,499.028,0.69583,0.58329,0.86134,0.97616,0.97521,0.97713,0.84905,0.54778,0.51695,0.85845,0.0044065,0.0044065,0.0044065
115,502.483,0.68696,0.61831,0.86507,0.97616,0.97521,0.97713,0.84905,0.54778,0.51695,0.85845,0.004357,0.004357,0.004357
116,507.448,0.63243,0.57435,0.83302,0.9761,0.97817,0.97709,0.88919,0.52258,0.5488,0.85649,0.0043075,0.0043075,0.0043075
